"Y1","Y2","Y3"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
"1","1","1"
